ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,choicePE,update1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,1,1,1,aud,0.36,1,b,C,1C,0,z,2.56192399999964,0,1,1,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0872459242827706,0.500776755690157,0.5,-0.498420694364831,-0.5,-0.498420694364831,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,2,0,2,aud,0.36,1,b,B,0B,0,z,1.69096360000003,0,1,1,2.30258509299405,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0015793056351685,0.5,0.5,0.168068077550431,0.499683236386403,0.5,-0.498420694364831,-0.5,-0.498420694364831,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,3,1,0,aud,0.14,1,b,A,1A,0,b,2.65958259999934,1,0,0,2.39789527279837,0.5,0.5,0.5,0.0015793056351685,0.5,0.5,0.5,0.0015793056351685,0.5,0.5,0.0808644299858161,0.499714316545963,-0.5,-0.498420694364831,-0.5,-0.498420694364831,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,4,2,1,aud,0.5,1,b,C,2C,1,z,2.4364115999997,0,0,0,2.484906649788,0.5,0.0015793056351685,0.5,0.0015793056351685,0.5,0.5,0.5,0.0015793056351685,0.5,0.5,0.0955900569024401,0.499001273479803,-0.5,0.498420694364831,0.5,0.498420694364831,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,5,0,0,aud,0.5,1,b,A,0A,1,z,2.37767259999964,0,0,0,2.56494935746154,0.5,0.0015793056351685,0.5,0.0015793056351685,0.5,0.5,0.5,0.0015793056351685,0.998420694364831,0.5,0.100115911822175,0.49992661645906,-0.5,0.498420694364831,0.5,0.498420694364831,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,6,0,0,aud,0.5,1,b,A,0A,1,b,2.57614610000019,1,1,1,1.94591014905531,0.998420694364831,0.0015793056351685,0.5,0.0015793056351685,0.5,0.5,0.5,0.0015793056351685,0.998420694364831,0.998420694364831,0.0921165292841865,0.534967026269945,0.0015793056351685,0.00157431722258995,0.0015793056351685,0.00157431722258995,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,7,2,1,aud,0.5,1,b,C,2C,1,b,2.82512119999956,1,1,1,2.01490302054226,0.999995011587421,0.00157733457538068,0.499375972660412,0.00157733457538068,0.5,0.5,0.499375972660412,0.0015793056351685,0.998420694364831,0.998420694364831,0.0762011609424235,0.5343716751258,0.0015793056351685,0.00157431722258995,0.0015793056351685,0.00157431722258995,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,8,0,2,aud,0.36,1,b,B,0B,0,z,2.44817539999895,0,1,1,2.07944154167984,0.999995011587421,0.00157733457538068,0.498752724141066,0.00157733457538068,0.5,0.499375972660412,0.498752724141066,0.00157733457538068,0.999995011587421,0.00157733457538068,0.101439569398961,0.53467542806939,0.00157733457538067,-0.00157235238861378,-0.00157733457538068,-0.00157235238861379,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,9,2,1,aud,0.5,1,b,C,2C,1,z,1.83946019999894,0,0,0,1.73460105538811,0.999995011587421,0.00157733457538068,0.498752724141066,4.98218676690007e-06,0.5,0.499375972660412,0.498752724141066,0.00157733457538068,0.999995011587421,0.999995011587421,0.139600717812968,0.464109109238342,-4.98841257856597e-06,4.97265612237422e-06,4.98841257856597e-06,4.97265612237422e-06,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,10,1,2,aud,0.5,1,b,B,1B,1,z,2.34856910000053,0,0,0,2.89037175789616,0.999995011587421,0.00157733457538068,0.498752724141066,4.98218676690007e-06,0.5,0.499375972660412,0.498752724141066,0.00157733457538068,0.999999984243544,0.5,0.102377554809551,0.500095199018703,-0.5,0.498420694364831,0.5,0.498420694364831,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,11,0,1,aud,0.14,1,b,C,0C,0,b,1.8554294000005,1,0,0,2.94443897916644,0.999995011587421,0.00157733457538068,0.498752724141066,4.98218676690007e-06,0.998420694364831,0.499375972660412,0.498752724141066,0.00157733457538068,0.999999984243544,0.498752724141066,0.148394282133168,0.49939640150331,-0.498752724141066,-0.497177358165482,-0.498752724141066,-0.497177358165482,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,12,1,2,aud,0.5,1,b,B,1B,1,z,1.89805080000042,0,0,0,2.30258509299405,0.999995011587421,0.00157733457538068,0.498752724141066,4.98218676690007e-06,0.998420694364831,0.499375972660412,0.00157536597558328,0.00157733457538068,0.999999984243544,0.998420694364831,0.134045502696078,0.465832579305134,-0.0015793056351685,0.00157431722258995,0.0015793056351685,0.00157431722258995,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,13,2,0,aud,0.36,1,b,A,2A,0,b,2.47998670000015,1,0,0,3.04452243772342,0.999995011587421,0.00157733457538068,0.498752724141066,4.98218676690007e-06,0.999995011587421,0.499375972660412,0.00157536597558328,0.00157733457538068,0.999999984243544,0.498752724141066,0.0927270110729649,0.500267211486068,-0.498752724141066,-0.497177358165482,-0.498752724141066,-0.497177358165482,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,14,1,1,aud,0.36,1,b,C,1C,0,z,1.71766810000008,0,1,1,2.39789527279837,0.999995011587421,0.00157733457538068,0.00157536597558328,4.98218676690007e-06,0.999995011587421,0.499375972660412,0.00157536597558328,0.00157733457538068,0.999999984243544,0.00157733457538068,0.17623812423378,0.534439982910426,0.00157733457538067,-0.00157235238861378,-0.00157733457538068,-0.00157235238861379,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,15,2,0,aud,0.36,1,b,A,2A,0,b,2.50963830000001,1,0,0,2.4423470353692,0.999995011587421,0.00157733457538068,0.00157536597558328,4.98218676690007e-06,0.999995011587421,0.499375972660412,0.00157536597558328,4.98218676690007e-06,0.999999984243544,0.00157536597558328,0.0839361187785767,0.463543893624505,-0.00157536597558328,-0.00157039000685789,-0.00157536597558328,-0.00157039000685789,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,16,1,2,aud,0.5,1,b,B,1B,1,[],NaN,NaN,NaN,NaN,2.07944154167984,0.999995011587421,0.00157733457538068,4.97596872538284e-06,4.98218676690007e-06,0.999995011587421,0.499375972660412,0.00157536597558328,4.98218676690007e-06,0.999999984243544,0.999995011587421,NaN,NaN,0,0,0,0,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,17,2,0,aud,0.36,1,b,A,2A,0,z,2.32721239999955,0,1,1,2.12026353620009,0.999995011587421,0.00157733457538068,4.97596872538284e-06,4.98218676690007e-06,0.999995011587421,0.499375972660412,0.00157536597558328,4.98218676690007e-06,0.999999984243544,4.97596872538284e-06,0.111304732974597,0.535320100024341,4.97596872539585e-06,-4.96025157449897e-06,-4.97596872538284e-06,-4.960251574486e-06,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,18,1,2,aud,0.5,1,b,B,1B,1,z,1.35207489999993,0,0,0,1.87180217690159,0.999995011587421,0.00157733457538068,1.5717150883869e-08,4.98218676690007e-06,0.999995011587421,0.499375972660412,0.00157536597558328,4.98218676690007e-06,0.999999984243544,0.999995011587421,0.201412665065583,0.465181074512347,-4.98841257856597e-06,4.97265612237422e-06,4.98841257856597e-06,4.97265612237422e-06,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,19,0,0,aud,0.5,1,b,A,0A,1,b,2.53405399999974,1,1,1,2.19722457733622,0.999995011587421,0.00157733457538068,1.5717150883869e-08,4.98218676690007e-06,0.999999984243544,0.499375972660412,0.00157536597558328,4.98218676690007e-06,0.999999984243544,0.999995011587421,0.095346985934961,0.536390809119766,4.98841257856597e-06,4.97265612237422e-06,4.98841257856597e-06,4.97265612237422e-06,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,20,2,1,aud,0.5,1,b,C,2C,1,[],NaN,NaN,NaN,NaN,1.94591014905531,0.999999984243544,0.00157536597558325,1.56975350201651e-08,4.97596872539311e-06,0.999999984243544,0.499375972660412,0.00157339983270604,4.98218676690007e-06,0.999999984243544,0.999999984243544,NaN,NaN,0,0,0,0,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,21,2,1,aud,0.5,1,b,C,2C,1,z,0.986676100001205,0,0,0,1.75785791755237,0.999999984243544,0.00157536597558325,1.56975350201651e-08,4.97596872539311e-06,0.999999984243544,0.499375972660412,0.00157339983270604,4.98218676690007e-06,0.999999984243544,0.999999984243544,0.254073482288997,0.464611879486635,-1.5756456139826e-08,1.57066876198822e-08,1.5756456139826e-08,1.57066876198822e-08,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,22,0,2,aud,0.36,1,b,B,0B,0,b,2.21464470000137,1,0,0,2.30258509299405,0.999999984243544,0.00157536597558325,1.56975350201651e-08,4.97596872539311e-06,0.999999984243544,0.499375972660412,0.00157339983270604,4.98218676690007e-06,0.999999999950231,4.97596872539311e-06,0.105387123792606,0.46542436694151,-4.97596872539311e-06,-4.96025157449624e-06,-4.97596872539311e-06,-4.96025157449624e-06,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,23,1,0,aud,0.14,1,b,A,1A,0,z,2.42898370000148,0,1,1,2.7408400239252,0.999999984243544,0.00157536597558325,1.56975350201651e-08,1.5717150896871e-08,0.999999984243544,0.499375972660412,0.00157339983270604,4.98218676690007e-06,0.999999999950231,0.00157536597558325,0.103188268572656,0.536075689219887,0.00157536597558328,-0.00157039000685789,-0.00157536597558325,-0.00157039000685787,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,24,2,2,aud,0.14,1,b,B,2B,0,b,1.19148479999967,1,0,0,3.46573590279973,0.999999984243544,4.97596872536137e-06,1.56975350201651e-08,1.5717150896871e-08,0.999999984243544,0.499375972660412,0.00157339983270604,4.98218676690007e-06,0.999999999950231,0.499375972660412,0.242581109722098,0.500935613335402,-0.499375972660412,-0.497798638085032,-0.499375972660412,-0.497798638085032,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,25,0,0,aud,0.5,0,b,A,0A,1,[],NaN,NaN,NaN,NaN,2.11021320034659,0.999999984243544,4.97596872536137e-06,1.56975350201651e-08,1.5717150896871e-08,0.999999984243544,0.00157733457538067,0.00157339983270604,4.98218676690007e-06,0.999999999950231,0.999999984243544,NaN,NaN,0,0,0,0,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
CBC_1032,CBC_1032_MSI_AV_v1_Vset2_Aset2_2023-10-20_11h21.24.835.csv,1,26,1,1,aud,0.36,1,b,C,1C,0,z,1.81981110000015,0,1,1,2.42774823594805,0.999999984243544,4.97596872536137e-06,1.56975350201651e-08,1.5717150896871e-08,0.999999984243544,0.00157733457538067,0.00157339983270604,4.98218676690007e-06,0.999999999950231,4.98218676690007e-06,0.163627177976819,0.53596600633169,4.98218676692197e-06,-4.96644997564905e-06,-4.98218676690007e-06,-4.96644997562721e-06,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.996841388729663,0.00124805467917555,0.301040084785569,0.0558448003056787,2.55481401983817,0.5,76.9200325708356
