ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,11,1,2,aud,0.36,1,z,C,1C,0,z,1.61363539999911,1,0,0,2.94443897916644,0.5,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.5,0.146795042720303,0.5,0.987346980995516,0.5,0.287206443002628,0.500521660568534,-0.5,-0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,12,0,1,aud,0.5,1,z,A,0A,1,b,1.18192609999915,0,0,0,2.99573227355399,0.5,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.5,0.146795042720303,0.146795042720303,0.987346980995516,0.5,0.389697652238604,0.500188677826464,-0.5,0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,13,1,2,aud,0.36,1,z,C,1C,0,z,2.45007079999959,1,0,0,2.35137525716348,0.853204957279696,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.5,0.146795042720303,0.146795042720303,0.987346980995516,0.146795042720303,0.103993989058749,0.433333088582542,-0.146795042720303,-0.103697473585792,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,14,0,1,aud,0.5,1,z,A,0A,1,b,3.34490909999931,0,0,0,2.39789527279837,0.853204957279696,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.5,0.146795042720303,0.0430975691345114,0.987346980995516,0.853204957279696,0.0405969079412059,0.432976800570582,-0.146795042720304,0.103697473585792,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,15,2,0,aud,0.14,1,z,B,2B,0,z,1.08802359999936,1,0,0,3.13549421592915,0.956902430865489,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.5,0.146795042720303,0.0430975691345114,0.987346980995516,0.5,0.350809908902874,0.500907656178869,-0.5,-0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,16,0,1,aud,0.5,0,z,A,0A,1,z,1.8352361999996,1,1,0,2.07944154167984,0.956902430865489,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.146795042720303,0.146795042720303,0.0430975691345114,0.987346980995516,0.956902430865489,0.268660351029059,0.586826087641186,-0.956902430865489,-0.675965364429365,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,17,1,2,aud,0.36,1,z,C,1C,0,z,1.24684409999918,1,0,0,2.12026353620009,0.280937066436123,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.146795042720303,0.146795042720303,0.0430975691345114,0.987346980995516,0.0430975691345114,0.324625068397368,0.414115694630304,-0.0430975691345114,-0.0304445501300278,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,18,0,1,aud,0.5,1,z,A,0A,1,b,1.14219069999945,0,0,0,1.87180217690159,0.280937066436123,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.146795042720303,0.146795042720303,0.0126530190044837,0.987346980995516,0.280937066436123,0.413760626512105,0.541798159789058,-0.719062933563877,0.507953185461685,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,19,2,2,aud,0.5,1,z,C,2C,1,z,1.18213259999993,1,1,1,1.90954250488444,0.788890251897808,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.146795042720303,0.146795042720303,0.0126530190044837,0.987346980995516,0.987346980995516,0.464789418086459,0.589855698114428,0.0126530190044837,0.00893821807387569,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,20,0,0,aud,0.36,1,z,B,0B,0,b,2.11229999999978,0,1,1,2.23359222150709,0.788890251897808,0.146795042720303,0.5,0.0430975691345114,0.956902430865489,0.146795042720303,0.146795042720303,0.0126530190044837,0.996285199069392,0.0430975691345114,0.200633198996273,0.586795541304463,0.0430975691345115,-0.0304445501300278,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,21,2,1,aud,0.36,1,z,A,2A,0,z,1.21420709999984,1,0,0,2.67414864942653,0.788890251897808,0.146795042720303,0.5,0.0126530190044836,0.956902430865489,0.146795042720303,0.146795042720303,0.0126530190044837,0.996285199069392,0.5,0.390641990542958,0.499830640045155,-0.5,-0.353204957279697,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
CBC_1049,CBC_1049_MSI_AV_v1_Vset3_Aset1_2024-01-23_15h14.42.182.csv,1,22,1,2,aud,0.36,1,z,C,1C,0,z,1.14656109999942,1,0,0,2.01490302054226,0.788890251897808,0.146795042720303,0.146795042720303,0.0126530190044836,0.956902430865489,0.146795042720303,0.146795042720303,0.0126530190044837,0.996285199069392,0.0126530190044837,0.3159265508182,0.408133880236185,-0.0126530190044837,-0.00893821807387569,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.706409914559393,0.812805308976187,0.174904089978785,2.17564369946505,0.5,68.6452519889607
