ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,rewardPEOP,update2OP,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,6,2,3,z,0,1,3,tac,D,63,1,2D,3D,0,1,b,1.19437369999832,1,0,0,0,2D,3D,D23,2.35137525716348,0.513262849065814,0.5,0.5,0.432285179407831,0.486737150934186,0.579181486767918,0.5,0.432285179407831,0.5,0.5,0.567714820592169,0.486737150934186,0.5,0.5,0.432285179407831,0.513262849065814,0.457179504784806,0.542820495215194,0.432285179407831,0.513262849065814,0.202608743348443,0.332232420976599,-0.432285179407831,-0.0114666661757491,-0.486737150934186,0.0659186377021039,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,7,2,0,b,1,0,1,tac,C,27,1,2C,0C,1,0,b,2.45755070000087,1,0,1,1,2C,0C,C20,3.09104245335832,0.513262849065814,0.5,0.5,0.432285179407831,0.486737150934186,0.579181486767918,0.5,0.432285179407831,0.5,0.5,0.567714820592169,0.486737150934186,0.5,0.5,0.420818513232082,0.579181486767918,0.531710162342138,0.468289837657862,0.567714820592169,0.5,0.153053786174438,0.625742517980354,0.432285179407831,0.0114666661757491,0.5,-0.0677148205921692,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,8,1,0,z,0,1,0,tac,A,63,1,1A,0A,0,1,z,2.56390459999966,0,1,1,1,0A,1A,A10,3.13549421592915,0.513262849065814,0.5,0.5,0.432285179407831,0.486737150934186,0.579181486767918,0.5,0.432285179407831,0.432285179407831,0.5,0.579181486767918,0.486737150934186,0.5,0.5,0.420818513232082,0.579181486767918,0.506544624170344,0.493455375829657,0.513262849065814,0.5,0.119230787445973,0.527353221175542,0.486737150934186,0.0129110427351292,0.5,-0.0677148205921692,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,9,0,1,z,0,1,2,tac,B,63,1,0B,1B,0,1,z,2.29913029999989,0,1,1,1,1B,0B,B01,3.17805383034795,0.526173891800944,0.432285179407831,0.5,0.432285179407831,0.486737150934186,0.579181486767918,0.5,0.432285179407831,0.432285179407831,0.5,0.579181486767918,0.486737150934186,0.5,0.5,0.420818513232082,0.579181486767918,0.54336369238886,0.45663630761114,0.579181486767918,0.486737150934186,0.18550213056364,0.669116022106695,0.420818513232082,0.011162504850195,0.486737150934186,-0.0659186377021039,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,10,3,1,b,1,0,3,tac,D,27,1,3D,1D,1,0,b,1.49538550000034,1,0,1,1,3D,1D,D31,3.2188758248682,0.526173891800944,0.432285179407831,0.5,0.432285179407831,0.420818513232082,0.590343991618113,0.5,0.432285179407831,0.432285179407831,0.5,0.579181486767918,0.486737150934186,0.5,0.5,0.420818513232082,0.579181486767918,0.536685899331475,0.463314100668525,0.579181486767918,0.5,0.336794072662212,0.643836235744484,0.420818513232082,0.011162504850195,0.5,-0.0677148205921692,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,11,2,3,b,1,0,1,tac,C,63,1,2C,3C,1,0,b,2.58627850000084,1,0,1,1,2C,3C,C23,2.56494935746154,0.526173891800944,0.432285179407831,0.5,0.432285179407831,0.420818513232082,0.590343991618113,0.5,0.432285179407831,0.432285179407831,0.5,0.579181486767918,0.486737150934186,0.5,0.432285179407831,0.420818513232082,0.590343991618113,0.54336369238886,0.45663630761114,0.579181486767918,0.486737150934186,0.146409657969617,0.668375708167414,0.420818513232082,0.011162504850195,0.486737150934186,-0.0659186377021039,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,12,0,1,z,0,1,2,tac,B,63,1,0B,1B,0,1,z,2.11837000000014,0,1,1,1,1B,0B,B01,2.60268968544438,0.526173891800944,0.432285179407831,0.5,0.432285179407831,0.420818513232082,0.590343991618113,0.5,0.432285179407831,0.432285179407831,0.5,0.590343991618113,0.420818513232082,0.5,0.432285179407831,0.420818513232082,0.590343991618113,0.583827019679269,0.416172980320731,0.590343991618113,0.420818513232082,0.25544523055334,0.795177908676923,0.409656008381887,0.0108664116161459,0.420818513232082,-0.0569913002507476,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,13,1,0,z,0,1,0,tac,A,63,1,1A,0A,0,1,z,2.29766480000035,0,1,1,1,0A,1A,A10,2.63905732961526,0.526173891800944,0.432285179407831,0.5,0.432285179407831,0.363827212981334,0.601210403234259,0.5,0.432285179407831,0.432285179407831,0.5,0.590343991618113,0.420818513232082,0.5,0.432285179407831,0.420818513232082,0.590343991618113,0.548978988886142,0.451021011113858,0.526173891800944,0.432285179407831,0.190761865326503,0.688121712178656,0.473826108199056,0.0125685683129726,0.432285179407831,-0.0585442267365098,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,14,2,1,b,1,0,1,tac,C,9,1,2C,1C,1,0,z,2.91122300000097,0,1,0,0,1C,2C,C21,3.36729582998647,0.538742460113916,0.373740952671321,0.5,0.432285179407831,0.363827212981334,0.601210403234259,0.5,0.432285179407831,0.432285179407831,0.5,0.590343991618113,0.420818513232082,0.5,0.432285179407831,0.420818513232082,0.590343991618113,0.458570876570779,0.541429123429221,0.5,0.590343991618113,0.0568616041993938,0.338137659679542,-0.5,-0.0132628490658144,-0.409656008381887,0.0554795662241672,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
CBC_1027,CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv,2,15,0,1,b,1,0,0,tac,A,63,1,0A,1A,1,0,b,2.34309489999941,1,0,1,1,0A,1A,A01,3.40119738166216,0.538742460113916,0.373740952671321,0.5,0.432285179407831,0.363827212981334,0.601210403234259,0.5,0.432285179407831,0.432285179407831,0.486737150934186,0.64582355784228,0.420818513232082,0.5,0.432285179407831,0.420818513232082,0.590343991618113,0.590413428414523,0.409586571585477,0.538742460113916,0.373740952671321,0.210395087503872,0.813027288625539,0.461257539886084,0.012235178263956,0.373740952671321,-0.0506156031161698,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.0265256981316287,0.135429641184338,0.668471080043776,3.2271931877346,2.51227523414804,0.5,66.8896339547102
