ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,fitCBCsimpleRW_CBCsimpleSigmoid_startBelief,fitCBCsimpleRW_CBCsimpleSigmoid_alpha1,fitCBCsimpleRW_CBCsimpleSigmoid_beta,fit_CBCsimpleRW_CBCsimpleSigmoid_NLL
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,11,2,3,b,1,0,2,aud,C,63,1,2C,3C,1,0,b,1.78561600000012,1,0,1,1,2C,3C,C23,2.56494935746154,0.652718222537638,0.5,0.5,0.5,0.5,0.571732459273339,0.5,0.5,0.5,0.5,0.583297601721347,0.416702398278653,0.5,0.5,0.416702398278653,0.416702398278653,0.583297601721347,0.416702398278653,0.583297601721347,0.416702398278653,0.924066636824355,0.924066636824355,0.416702398278653,0.0694206208162909,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,12,0,1,z,0,1,1,aud,B,63,1,0B,1B,0,1,z,1.59718599999997,0,1,1,1,1B,0B,B01,2.60268968544438,0.652718222537638,0.5,0.5,0.5,0.5,0.571732459273339,0.5,0.5,0.5,0.5,0.652718222537638,0.416702398278653,0.5,0.5,0.416702398278653,0.416702398278653,0.571732459273339,0.5,0.533465655841933,0.466534344158067,0.731838346316237,0.731838346316237,0.428267540726661,0.0713473180752606,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,13,1,0,z,0,1,0,aud,A,63,0,1A,0A,1,0,z,1.70943140000008,0,1,1,0,0A,1A,A10,2.63905732961526,0.652718222537638,0.5,0.5,0.5,0.5,0.6430797773486,0.5,0.5,0.5,0.5,0.652718222537638,0.416702398278653,0.5,0.5,0.416702398278653,0.416702398278653,0.652718222537638,0.5,0.566242651305294,0.433757348694706,0.879455026808983,0.879455026808983,-0.652718222537638,-0.108739725074412,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,14,2,1,b,1,0,2,aud,C,9,1,2C,1C,1,0,z,3.18978910000033,0,1,0,0,1C,2C,C21,3.36729582998647,0.543978497463226,0.5,0.5,0.5,0.5,0.6430797773486,0.5,0.5,0.5,0.5,0.652718222537638,0.416702398278653,0.5,0.5,0.416702398278653,0.416702398278653,0.5,0.652718222537638,0.433757348694706,0.566242651305294,0.120544973191017,0.120544973191017,-0.5,-0.0832976017213474,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,15,0,1,b,1,0,0,aud,A,63,1,0A,1A,NaN,NaN,[],NaN,NaN,NaN,NaN,NaN,,,A01,3.40119738166216,0.543978497463226,0.5,0.5,0.5,0.5,0.6430797773486,0.5,0.5,0.5,0.416702398278653,0.652718222537638,0.416702398278653,0.5,0.5,0.416702398278653,0.416702398278653,0,0,0,0,0,NaN,0,0,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,16,1,3,z,0,1,3,aud,D,27,1,1D,3D,0,1,z,2.58515670000043,0,1,1,1,3D,1D,D13,3.43398720448515,0.543978497463226,0.5,0.5,0.5,0.5,0.6430797773486,0.5,0.5,0.5,0.416702398278653,0.652718222537638,0.416702398278653,0.5,0.5,0.416702398278653,0.416702398278653,0.416702398278653,0.5,0.454566715502348,0.545433284497652,0.203753395755541,0.203753395755541,0.583297601721347,0.0971745826264038,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,17,1,0,b,1,0,1,aud,B,63,1,1B,0B,1,0,b,1.56869869999991,1,0,1,1,1B,0B,B10,2.77258872223978,0.543978497463226,0.5,0.5,0.5,0.5,0.6430797773486,0.5,0.5,0.5,0.416702398278653,0.652718222537638,0.416702398278653,0.5,0.5,0.416702398278653,0.513876980905056,0.6430797773486,0.5,0.562585210666782,0.437414789333218,0.867330186362133,0.867330186362133,0.3569202226514,0.0594611971054219,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,18,3,2,z,0,1,2,aud,C,63,0,3C,2C,1,0,z,3.12383599999976,0,1,1,0,2C,3C,C32,3.49650756146648,0.543978497463226,0.5,0.5,0.5,0.5,0.702540974454022,0.5,0.5,0.5,0.416702398278653,0.652718222537638,0.416702398278653,0.5,0.5,0.416702398278653,0.513876980905056,0.652718222537638,0.416702398278653,0.61034751886439,0.38965248113561,0.964784741409756,0.964784741409756,-0.652718222537638,-0.108739725074412,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,19,0,2,b,1,0,0,aud,A,27,1,0A,2A,1,0,b,1.14921000000004,1,0,1,1,0A,2A,A02,3.52636052461616,0.543978497463226,0.5,0.5,0.5,0.5,0.702540974454022,0.5,0.5,0.5,0.416702398278653,0.543978497463226,0.416702398278653,0.5,0.5,0.416702398278653,0.513876980905056,0.543978497463226,0.5,0.52106293260354,0.47893706739646,0.652917431001868,0.652917431001868,0.456021502536774,0.0759709949893571,0.5,0.166595203442695,14.9999998788953,15.617384374329
CBC_1001,CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv,1,20,2,3,z,0,1,3,aud,D,63,1,2D,3D,0,1,z,2.32911330000024,0,1,1,1,3D,2D,D23,2.4567357728213,0.619949492452583,0.5,0.5,0.5,0.5,0.702540974454022,0.5,0.5,0.5,0.416702398278653,0.543978497463226,0.416702398278653,0.5,0.5,0.416702398278653,0.513876980905056,0.513876980905056,0.416702398278653,0.552211871872577,0.447788128127423,0.827263527109982,0.827263527109982,0.486123019094944,0.0809857632642991,0.5,0.166595203442695,14.9999998788953,15.617384374329
