ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,rewardPEOP,update2OP,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha2,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
112,1,1,B,0,1,l,63,1,1,0B,1B,0,1,0,1,B01,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,6.10923986808728,1,1,0,0B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.36371511522552,-0.5,0.372153124679906,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,0.0686240454056873,0.500337806937454,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,2,D,2,3,l,63,1,1,2D,3D,0,1,0,1,D23,2.83321334405622,0.5,0.5,0.5,0.5,0.13628488477448,0.872153124679906,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,11.4172398680873,1,1,0,2D,3D,0.5,0.5,0.5,0.5,0,0,-0.5,-0.36371511522552,-0.5,0.372153124679906,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,0.0143762484460805,0.499853663216894,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,3,B,1,3,a,27,1,1,1B,3B,1,0,1,0,B13,2.89037175789616,0.5,0.5,0.5,0.5,0.13628488477448,0.872153124679906,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.13628488477448,0.872153124679906,2.87823986808728,1,1,0,1B,3B,0.872153124679906,0.5,0.872153124679906,0.127846875320094,1,1,0.127846875320094,0.0929996819765413,0.5,-0.372153124679906,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,10.5972963308543,1,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,4,C,3,2,l,63,1,1,3C,2C,0,1,0,1,C32,2.94443897916644,0.5,0.5,0.5,0.5,0.13628488477448,0.965152806656447,0.5,0.127846875320094,0.5,0.5,0.5,0.5,0.5,0.5,0.13628488477448,0.872153124679906,4.33223986808728,0,0,1,2C,3C,0.5,0.5,0.5,0.5,1,1,0.5,0.36371511522552,0.5,-0.372153124679906,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,0.108669076373552,0.500965413612429,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,5,C,2,0,a,27,1,1,2C,0C,1,0,1,0,C20,2.99573227355399,0.5,0.5,0.5,0.5,0.13628488477448,0.965152806656447,0.5,0.127846875320094,0.5,0.5,0.86371511522552,0.127846875320094,0.5,0.5,0.13628488477448,0.872153124679906,2.88023986808728,1,1,0,2C,0C,0.86371511522552,0.5,0.86371511522552,0.13628488477448,1,1,0.13628488477448,0.0991377451384933,0.5,-0.372153124679906,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,10.3653278810621,1,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,6,A,3,0,l,9,1,1,3A,0A,0,1,0,1,A30,3.04452243772342,0.5,0.5,0.5,0.5,0.13628488477448,0.965152806656447,0.5,0.127846875320094,0.127846875320094,0.5,0.962852860364014,0.127846875320094,0.5,0.5,0.13628488477448,0.872153124679906,5.01523986808728,0,0,1,0A,3A,0.5,0.5,0.5,0.5,1,1,0.5,0.36371511522552,0.5,-0.372153124679906,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,0.0935141867427846,0.49993100294889,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,7,C,3,2,l,63,1,1,3C,2C,0,1,0,1,C32,2.39789527279837,0.86371511522552,0.5,0.5,0.127846875320094,0.13628488477448,0.965152806656447,0.5,0.127846875320094,0.127846875320094,0.5,0.962852860364014,0.127846875320094,0.5,0.5,0.13628488477448,0.872153124679906,2.85023986808728,0,0,1,2C,3C,0.962852860364014,0.127846875320094,0.994376410088525,0.00562358991147538,1,1,0.0371471396359865,0.0270219523460026,0.127846875320094,-0.0951572282618706,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,11.742256076709,1,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,8,A,0,1,a,63,1,1,0A,1A,1,0,1,0,A01,3.13549421592915,0.86371511522552,0.5,0.5,0.127846875320094,0.13628488477448,0.965152806656447,0.5,0.127846875320094,0.127846875320094,0.5,0.989874812710016,0.0326896470582233,0.5,0.5,0.13628488477448,0.872153124679906,2.88423986808728,1,1,0,0A,1A,0.86371511522552,0.5,0.86371511522552,0.13628488477448,1,1,0.13628488477448,0.0991377451384933,0.5,-0.372153124679906,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,10.114933477809,1,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,9,D,3,2,a,63,1,1,3D,2D,1,0,1,0,D32,3.17805383034795,0.962852860364014,0.127846875320094,0.5,0.127846875320094,0.13628488477448,0.965152806656447,0.5,0.127846875320094,0.127846875320094,0.5,0.989874812710016,0.0326896470582233,0.5,0.5,0.13628488477448,0.872153124679906,2.83823986808728,1,1,0,3D,2D,0.872153124679906,0.13628488477448,0.977392957348309,0.0226070426516911,1,1,0.127846875320094,0.0929996819765413,0.13628488477448,-0.101437691430927,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,15.4031660822368,1,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
112,1,10,C,2,3,a,63,1,1,2C,3C,1,0,1,0,C23,3.2188758248682,0.962852860364014,0.127846875320094,0.5,0.127846875320094,0.13628488477448,0.965152806656447,0.5,0.127846875320094,0.127846875320094,0.5,0.989874812710016,0.0326896470582233,0.5,0.5,0.0348471933435526,0.965152806656447,2.87323986808728,1,1,0,2C,3C,0.989874812710016,0.0326896470582233,0.999654445073788,0.000345554926212022,1,1,0.0101251872899839,0.00736536732371294,0.0326896470582233,-0.0243311085948022,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.62655133853758,0.643678828591369,2.69223986808728,12.7818127787062,3.5045259947504,0.5,4.19445965367148,1,CBCbothPairsRW,CBCdriftDiffusionLR_pwBelief,0.5,0.72743023045104,0.744306249359812,2.69749385019386,14.982604835787,4.0936573752964,0.5,-83.1994932489438
