ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,beliefPair,lik,corrLik,rewardPE,update2,choicePE,update1,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,1,2,0,aud,0.5,0,b,C,2C,1,b,2.36754179999843,1,1,0,2.19722457733622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.159616208262496,0.499844218407389,-0.5,-0.0937211457199749,0.5,0.0937211457199749,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,2,1,1,aud,0.5,1,b,B,1B,1,b,2.3070372000002,1,1,1,2.30258509299405,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.406278854280025,0.5,0.166369567196985,0.498642140380533,0.5,0.0937211457199749,0.5,0.0937211457199749,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,3,0,0,aud,0.15,1,b,C,0C,0,b,2.0339542999991,1,0,0,2.39789527279837,0.5,0.31287641785573,0.5,0.31287641785573,0.593721145719975,0.31287641785573,0.5,0.31287641785573,0.406278854280025,0.5,0.202780089284516,0.499735644101692,-0.5,-0.0937211457199749,-0.5,-0.0937211457199749,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,4,2,2,aud,0.35,1,b,A,2A,0,b,1.31866519999858,1,0,0,2.484906649788,0.5,0.31287641785573,0.5,0.31287641785573,0.593721145719975,0.31287641785573,0.406278854280025,0.31287641785573,0.406278854280025,0.5,0.252699971088011,0.500871472074617,-0.5,-0.0937211457199749,-0.5,-0.0937211457199749,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,5,1,0,aud,0.35,0,b,C,1C,0,z,2.19229850000011,0,1,0,2.56494935746154,0.5,0.31287641785573,0.406278854280025,0.31287641785573,0.593721145719975,0.31287641785573,0.406278854280025,0.31287641785573,0.406278854280025,0.31287641785573,0.288663078264906,0.770117934364803,-0.68712358214427,0.128796018739549,-0.31287641785573,-0.0586462727004013,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,6,2,2,aud,0.35,1,b,A,2A,0,b,2.65721519999897,1,0,0,1.94591014905531,0.5,0.31287641785573,0.406278854280025,0.31287641785573,0.593721145719975,0.31287641785573,0.406278854280025,0.441672436595279,0.406278854280025,0.406278854280025,0.0908473016741706,0.352021524941721,-0.406278854280025,-0.0761538394098454,-0.406278854280025,-0.0761538394098454,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,7,1,1,aud,0.5,1,b,B,1B,1,b,2.31758439999976,1,1,1,2.01490302054226,0.5,0.31287641785573,0.33012501487018,0.31287641785573,0.593721145719975,0.31287641785573,0.406278854280025,0.441672436595279,0.406278854280025,0.593721145719975,0.215795902961596,0.647245400891432,0.406278854280025,0.0761538394098454,0.406278854280025,0.0761538394098454,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,8,0,2,aud,0.5,1,b,A,0A,1,b,2.46644460000061,1,1,1,2.77258872223978,0.5,0.195783305700467,0.33012501487018,0.195783305700467,0.66987498512982,0.195783305700467,0.406278854280025,0.276377779655086,0.406278854280025,0.5,0.148830004619363,0.500772653498716,0.5,0.0937211457199749,0.5,0.0937211457199749,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,9,1,1,aud,0.5,1,b,B,1B,1,b,2.29271399999925,1,1,1,1.73460105538811,0.593721145719975,0.122511958727031,0.206576664194303,0.122511958727031,0.66987498512982,0.195783305700467,0.254230145155329,0.276377779655086,0.406278854280025,0.66987498512982,0.258206716052786,0.750594924990585,0.33012501487018,0.061879389248914,0.33012501487018,0.061879389248914,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
CBC_P013,CBC_P013_AV_prob0.7_Vset3_Aset4_2023-03-24_16h50.28.064.csv,1,10,2,0,aud,0.5,0,b,C,2C,1,b,2.46991030000027,1,1,0,2.19722457733622,0.593721145719975,0.0766622055820049,0.206576664194303,0.0766622055820049,0.731754374378734,0.122511958727031,0.254230145155329,0.172944179346807,0.406278854280025,0.406278854280025,0.105034314411343,0.353326717870023,-0.406278854280025,-0.0761538394098454,0.593721145719975,0.111288452030104,CBC2StepRW,CBCdriftDiffusionLR,0.5,0.18744229143995,0.37424716428854,0.90467496321712,1.24430161587473,2.60208963723372,0.5,60.5193539081124
