ID,session,trialNr,mod2Stim,visStimLeft,visStimRight,correctKey,frequency,rewardAccurate,probFB,stimPairLeft,stimPairRight,leftCorrect,rightCorrect,pCorrectLeft,pCorrectRight,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,reactionTime,choice,choiceLeft,choiceRight,chosenPair,otherPair,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_alpha12,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
190,1,1,A,0,1,a,63,1,0.95,0A,1A,1,0,1,0,A01,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.25268097582657,0,0,1,1A,0A,0.5,0.5,0.5,0.5,0,0,-0.5,-0.388755718501901,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,0.294091186324004,0.500942135074011,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,2,C,2,3,a,63,1,0.95,2C,3C,1,0,1,0,C23,2.83321334405622,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.23968097582657,0,0,1,3C,2C,0.5,0.5,0.5,0.5,0,0,-0.5,-0.388755718501901,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,0.0183068340103352,0.500103260136988,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,3,A,2,0,l,27,1,0.95,2A,0A,0,1,0,1,A20,2.89037175789616,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.111244281498099,0.5,0.5,0.5,0.5,1.14568097582657,1,1,0,2A,0A,0.5,0.5,0.5,0.5,0,0,-0.5,-0.388755718501901,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,0.31991756518101,0.500425337181879,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,4,B,0,1,l,63,1,0.95,0B,1B,0,1,0,1,B01,2.94443897916644,0.5,0.111244281498099,0.111244281498099,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.111244281498099,0.5,0.5,0.5,0.5,1.70568097582657,1,1,0,0B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.388755718501901,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,0.194498434682663,0.499820779278394,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,5,D,3,2,a,63,1,0.95,3D,2D,1,0,1,0,D32,2.99573227355399,0.5,0.111244281498099,0.111244281498099,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.5,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.830680975826571,0,0,1,2D,3D,0.5,0.5,0.5,0.5,0,0,-0.5,-0.388755718501901,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,0.32159902214677,0.500234539750778,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,6,B,2,1,l,9,1,0.95,2B,1B,0,1,0,1,B21,3.04452243772342,0.5,0.111244281498099,0.111244281498099,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.5,0.5,0.111244281498099,0.5,0.5,0.111244281498099,0.5,2.39068097582657,1,1,0,2B,1B,0.5,0.5,0.5,0.5,0,0,-0.5,-0.388755718501901,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,0.102736428220678,0.500031541676724,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,7,D,3,1,a,27,1,0.95,3D,1D,1,0,1,0,D31,3.09104245335832,0.5,0.111244281498099,0.111244281498099,0.5,0.111244281498099,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.111244281498099,0.5,0.5,0.111244281498099,0.5,1.97968097582657,0,0,1,1D,3D,0.5,0.5,0.5,0.5,0,0,-0.5,-0.388755718501901,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,0.150810652293248,0.500262670969267,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,8,A,0,1,a,63,1,0.95,0A,1A,1,0,1,0,A01,2.4423470353692,0.5,0.111244281498099,0.111244281498099,0.5,0.111244281498099,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.111244281498099,0.5,0.111244281498099,0.111244281498099,0.5,1.06068097582657,1,1,0,0A,1A,0.5,0.111244281498099,0.81800356278925,0.18199643721075,1,1,0.5,0.254789486398567,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,1.10506685091279,0.986062199632142,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,9,A,1,0,l,63,1,0.95,1A,0A,0,1,0,1,A10,3.17805383034795,0.754789486398567,0.111244281498099,0.111244281498099,0.5,0.111244281498099,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.111244281498099,0.5,0.111244281498099,0.111244281498099,0.5,0.681680975826571,0,0,1,0A,1A,0.754789486398567,0.111244281498099,0.871547408863424,0.128452591136576,1,1,0.245210513601433,0.124954121640076,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,1.10456013229957,0.993137917006259,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
190,1,10,C,0,2,l,27,1,0.95,0C,2C,0,1,0,1,C02,3.2188758248682,0.879743608038643,0.111244281498099,0.111244281498099,0.5,0.111244281498099,0.5,0.111244281498099,0.5,0.5,0.5,0.5,0.111244281498099,0.5,0.111244281498099,0.111244281498099,0.5,0.787680975826571,0,0,1,2C,0C,0.5,0.5,0.5,0.5,1,1,0.5,0.254789486398567,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.82825971458906,0.742546303862486,0.419680975826571,2.84991580152396,2.56740542862368,0.5,0.289798978976621,0.499775801178909,CBCsimpleAsymRW,CBCdriftDiffusionLR,0.5,0.509578972797135,0.777511437003803,0.509918994816057,2.91373712454951,2.29987368229448,0.5,28.0574303274515
