"ID";"Task";"B0";"EPIfilename";"B0filename";"B0filename_processed";"logfile";"ARTfilename";"nscans";"run";"badScans_pr";"session";"modality";"version";"stimType";"ACC_1st";"ACC_2nd";"ACC_3rd";"ACC_4th";"ACC";"percOmissions";"excludeObs";"geschlecht";"auswahl_vp.factor";"age"
"CBC_P017";"av11";"3";"mr5128_cbc_p017_20230331_150626_4_1_epi_msi_av_44slices.nii";"^mr5128_cbc_p017_20230331_150354_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5128_cbc_p017_20230331_150354_3_1_b0_msi_46slices_ec1_typ3_session1.nii";"CBC_P017_AV_prob0.9_Vset2_Aset3_2023-03-31_15h00.39.413.csv";"vs8wuamr5128_cbc_p017_20230331_150626_4_1_epi_msi_av_44slices.nii";"268";"20230331_150626_4_1";"0";"1";"av";"v1";"env";"0,692307692307692";"1,000000000000000";"1,000000000000000";NA;"0,902439024390244";"0,0238095238095238";"0";"m";"Pilot Erw";"25,993"
"CBC_P017";"tv11";"3";"mr5128_cbc_p017_20230331_151406_5_1_epi_msi_tv_44slices.nii";"^mr5128_cbc_p017_20230331_150354_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5128_cbc_p017_20230331_150354_3_1_b0_msi_46slices_ec1_typ3_session2.nii";"CBC_P017_TV_prob0.9_Vset3_Tset1_2023-03-31_15h08.21.412.csv";"vs8wuamr5128_cbc_p017_20230331_151406_5_1_epi_msi_tv_44slices.nii";"268";"20230331_151406_5_1";"0";"2";"tv";"v1";"vib";"0,923076923076923";"0,857142857142857";"1,000000000000000";NA;"0,926829268292683";"0,0238095238095238";"0";"m";"Pilot Erw";"25,993"
"CBC_P018";"av11";"3";"mr5129_cbc_p018_20230331_162654_5_1_epi_msi_av_44slices.nii";"^mr5129_cbc_p018_20230331_161646_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5129_cbc_p018_20230331_161646_3_1_b0_msi_46slices_ec1_typ3_session2.nii";"CBC_P018_AV_prob0.9_Vset4_Aset1_2023-03-31_16h21.18.455.csv";"vs8wuamr5129_cbc_p018_20230331_162654_5_1_epi_msi_av_44slices.nii";"268";"20230331_162654_5_1";"0";"2";"av";"v1";"env";"0,857142857142857";"1,000000000000000";"0,928571428571429";NA;"0,928571428571429";"0,0000000000000000";"0";"f";"Pilot Erw";"22,261"
"CBC_P018";"tv11";"3";"mr5129_cbc_p018_20230331_161917_4_1_epi_msi_tv_44slices.nii";"^mr5129_cbc_p018_20230331_161646_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5129_cbc_p018_20230331_161646_3_1_b0_msi_46slices_ec1_typ3_session1.nii";"CBC_P018_TV_prob0.9_Vset2_Tset2_2023-03-31_16h13.25.375.csv";"vs8wuamr5129_cbc_p018_20230331_161917_4_1_epi_msi_tv_44slices.nii";"268";"20230331_161917_4_1";"0";"1";"tv";"v1";"vib";"0,500000000000000";"0,666666666666667";"0,714285714285714";NA;"0,625000000000000";"0,0476190476190476";"0";"f";"Pilot Erw";"22,261"
"CBC_P019";"av11";"3";"mr5130_cbc_p019_20230331_172023_4_1_epi_msi_av_44slices.nii";"^mr5130_cbc_p019_20230331_171754_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5130_cbc_p019_20230331_171754_3_1_b0_msi_46slices_ec1_typ3_session1.nii";"CBC_P019_AV_prob0.9_Vset3_Aset1_2023-03-31_17h14.34.139.csv";"vs8wuamr5130_cbc_p019_20230331_172023_4_1_epi_msi_av_44slices.nii";"268";"20230331_172023_4_1";"0";"1";"av";"v1";"env";"0,857142857142857";"0,785714285714286";"0,785714285714286";NA;"0,809523809523810";"0,0000000000000000";"0";"m";"Pilot Erw";"24,716"
"CBC_P019";"tv11";"3";"mr5130_cbc_p019_20230331_172802_5_1_epi_msi_tv_44slices.nii";"^mr5130_cbc_p019_20230331_171754_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5130_cbc_p019_20230331_171754_3_1_b0_msi_46slices_ec1_typ3_session2.nii";"CBC_P019_TV_prob0.9_Vset2_Tset3_2023-03-31_17h22.32.458.csv";"vs8wuamr5130_cbc_p019_20230331_172802_5_1_epi_msi_tv_44slices.nii";"268";"20230331_172802_5_1";"0";"2";"tv";"v1";"vib";"0,714285714285714";"0,692307692307692";"0,785714285714286";NA;"0,731707317073171";"0,0238095238095238";"0";"m";"Pilot Erw";"24,716"
"CBC_P020";"av11";"3";"mr5131_cbc_p020_20230331_182529_5_1_epi_msi_av_44slices.nii";"^mr5131_cbc_p020_20230331_181527_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5131_cbc_p020_20230331_181527_3_1_b0_msi_46slices_ec1_typ3_session2.nii";"CBC_P020_AV_prob0.7_Vset3_Aset3_2023-03-31_18h19.39.958.csv";"vs8wuamr5131_cbc_p020_20230331_182529_5_1_epi_msi_av_44slices.nii";"268";"20230331_182529_5_1";"0";"2";"av";"v1";"env";"1,000000000000000";"0,923076923076923";"1,000000000000000";NA;"0,975000000000000";"0,0476190476190476";"0";"f";"Pilot Erw";"29,419"
"CBC_P020";"tv11";"3";"mr5131_cbc_p020_20230331_181744_4_1_epi_msi_tv_44slices.nii";"^mr5131_cbc_p020_20230331_181527_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5131_cbc_p020_20230331_181527_3_1_b0_msi_46slices_ec1_typ3_session1.nii";"CBC_P020_TV_prob0.7_Vset1_Tset2_2023-03-31_18h12.03.082.csv";"vs8wuamr5131_cbc_p020_20230331_181744_4_1_epi_msi_tv_44slices.nii";"268";"20230331_181744_4_1";"0";"1";"tv";"v1";"vib";"0,692307692307692";"0,785714285714286";"0,785714285714286";NA;"0,756097560975610";"0,0238095238095238";"0";"f";"Pilot Erw";"29,419"
"CBC_P022";"av11";"3";"mr5133_cbc_p022_20230402_151359_5_1_epi_msi_av_44slices.nii";"^mr5133_cbc_p022_20230402_150353_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5133_cbc_p022_20230402_150353_3_1_b0_msi_46slices_ec1_typ3_session2.nii";"CBC_P022_AV_prob0.9_Vset2_Aset2_2023-04-02_15h08.21.873.csv";"vs8wuamr5133_cbc_p022_20230402_151359_5_1_epi_msi_av_44slices.nii";"268";"20230402_151359_5_1";"0";"2";"av";"v1";"env";"0,846153846153846";"0,928571428571429";"0,928571428571429";NA;"0,902439024390244";"0,0238095238095238";"0";"f";"Pilot Erw";"23,754"
"CBC_P022";"tv11";"3";"mr5133_cbc_p022_20230402_150628_4_1_epi_msi_tv_44slices.nii";"^mr5133_cbc_p022_20230402_150353_3_1_b0_msi_46slices_.*.nii$";"vdm5_scmr5133_cbc_p022_20230402_150353_3_1_b0_msi_46slices_ec1_typ3_session1.nii";"CBC_P022_TV_prob0.9_Vset4_Tset1_2023-04-02_15h00.38.402.csv";"vs8wuamr5133_cbc_p022_20230402_150628_4_1_epi_msi_tv_44slices.nii";"268";"20230402_150628_4_1";"0";"1";"tv";"v1";"vib";"0,500000000000000";"0,666666666666667";"0,769230769230769";NA;"0,648648648648649";"0,1190476190476190";"0";"f";"Pilot Erw";"23,754"
