ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,rewardPEOP,update2OP,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha2,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,1,1,0,b,1,0,0,tac,B,63,1,1B,0B,NaN,NaN,None,NaN,NaN,NaN,NaN,NaN,,,B10,2.77258872223978,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,NaN,0,0,0,0,0,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,2,1,0,z,0,1,2,tac,A,63,1,1A,0A,NaN,NaN,None,NaN,NaN,NaN,NaN,NaN,,,A10,2.83321334405622,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,NaN,0,0,0,0,0,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,3,3,2,b,1,0,1,tac,D,63,1,3D,2D,1,0,b,1.32539670000006,1,0,1,1,3D,2D,D32,2.89037175789616,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0281771066680017,0.4996358524433,0.5,0.409928185030676,0.5,-0.469513510323669,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,4,1,2,b,1,0,0,tac,B,9,1,1B,2B,1,0,z,2.58033430000023,0,1,0,0,2B,1B,B12,2.94443897916644,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0304864896763311,0.909928185030676,0.5,0.5,0.5,0.5,0.163018947601593,0.50017624055822,-0.5,-0.409928185030676,-0.5,0.469513510323669,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,5,2,0,z,0,1,2,tac,A,27,1,2A,0A,0,1,b,2.73704310000039,1,0,0,0,2A,0A,A20,2.99573227355399,0.5,0.5,0.5,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0304864896763311,0.909928185030676,0.5,0.5,0.5,0.5,0.147747248197739,0.500250366882923,-0.5,-0.409928185030676,-0.5,0.469513510323669,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,6,3,2,z,0,1,3,tac,C,63,1,3C,2C,0,1,b,2.6618911000005,1,0,0,0,3C,2C,C32,3.04452243772342,0.969513510323669,0.5,0.090071814969324,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0304864896763311,0.909928185030676,0.5,0.5,0.5,0.5,0.154837326585403,0.50000845021172,-0.5,-0.409928185030676,-0.5,0.469513510323669,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,7,3,1,b,1,0,1,tac,D,27,1,3D,1D,1,0,z,3.22827830000006,0,1,0,0,1D,3D,D31,3.09104245335832,0.969513510323669,0.5,0.090071814969324,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.5,0.0304864896763311,0.909928185030676,0.354627991204475,0.645372008795525,0.5,0.909928185030676,0.0989713064335827,0.457716868517892,-0.5,-0.409928185030676,-0.090071814969324,0.0845798680549426,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,8,0,1,b,1,0,2,tac,A,63,1,0A,1A,1,0,b,2.46239510000032,1,0,1,1,0A,1A,A01,3.13549421592915,0.969513510323669,0.5,0.090071814969324,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.090071814969324,0.0304864896763311,0.994508053085619,0.659751341864239,0.340248658135761,0.969513510323669,0.5,0.192030657166409,0.546780879536896,0.0304864896763311,0.0249945427619497,0.5,-0.469513510323669,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,9,0,2,z,0,1,3,tac,C,27,1,0C,2C,0,1,z,2.77261130000034,0,1,1,1,2C,0C,C02,3.17805383034795,0.994508053085619,0.0304864896763311,0.090071814969324,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.090071814969324,0.0304864896763311,0.994508053085619,0.659751341864239,0.340248658135761,0.969513510323669,0.5,0.157861842487385,0.546255756189068,0.0304864896763311,0.0249945427619497,0.5,-0.469513510323669,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
CBC_1014,CBC_1014_MSI_TV_v3_Vset4_Tset3_2023-06-25_10h42.28.156.csv,1,10,3,2,b,1,0,1,tac,D,63,1,3D,2D,1,0,b,2.65895420000015,1,0,1,1,3D,2D,D32,2.52572864430826,0.994508053085619,0.0304864896763311,0.090071814969324,0.5,0.5,0.969513510323669,0.090071814969324,0.5,0.0304864896763311,0.5,0.994508053085619,0.090071814969324,0.5,0.090071814969324,0.0304864896763311,0.994508053085619,0.970256924886466,0.029743075113534,0.994508053085619,0.0304864896763311,0.198264425249343,0.633993517335981,0.00549194691438137,0.00450260766179436,0.0304864896763311,-0.028627637570761,CBCbothPairsRW,CBCdriftDiffusionLR,0.5,0.819856370061352,0.939027020647338,1.15266182514456,0.211256339083278,2.7855078383411,0.5,85.0805626244582
